Index	e_above_hull	formation_energy	Li_fraction	Ga_fraction	Sn_fraction
gen-2-129	0.060309	-0.321749	0.500000	0.166667	0.333333
gen-2-130	0.026984	-0.252804	0.384615	0.538462	0.076923
gen-2-131	0.053253	-0.297205	0.533333	0.266667	0.200000
gen-2-132	0.023420	-0.264281	0.375000	0.500000	0.125000
gen-2-133	0.039649	-0.342301	0.583333	0.083333	0.333333
gen-2-134	0.005785	-0.297380	0.500000	0.500000	0.000000
gen-2-135	0.054854	-0.314055	0.500000	0.222222	0.277778
gen-2-136	0.032765	-0.183513	0.250000	0.666667	0.083333
gen-2-137	0.078789	-0.319048	0.500000	0.100000	0.400000
gen-2-138	0.052403	-0.329655	0.500000	0.166667	0.333333
gen-2-139	0.045154	-0.310535	0.555556	0.222222	0.222222
